"Date","Open","High","Low","Close","Adj Close","Volume"
"Jan 01, 2017",19872.86,20125.58,19677.94,19864.09,19864.09,6482900000
"Dec 01, 2016",19149.2,19987.63,19138.79,19762.6,19762.6,5952470000
"Nov 01, 2016",18158.24,19225.29,17883.56,19123.58,19123.58,2107770000
"Oct 01, 2016",18279.6,18399.96,17959.95,18142.42,18142.42,1793690000
"Sep 01, 2016",18396.57,18551.54,17992.21,18308.15,18308.15,2101120000
"Aug 01, 2016",18434.5,18722.61,18247.79,18400.88,18400.88,1695750000
"Jul 01, 2016",17924.24,18622.01,17713.45,18432.24,18432.24,1816520000
"Jun 01, 2016",17754.55,18016,17063.08,17929.99,17929.99,2350020000
"May 01, 2016",17783.78,17934.61,17331.07,17787.2,17787.2,1879010000
"Apr 01, 2016",17661.74,18167.63,17484.23,17773.64,17773.64,2096650000
"Mar 01, 2016",16545.67,17790.11,16545.67,17685.09,17685.09,2407750000
"Feb 01, 2016",16453.63,16795.98,15503.01,16516.5,16516.5,2491810000
"Jan 01, 2016",17405.48,17405.48,15450.56,16466.3,16466.3,2844080000
"Dec 01, 2015",17719.72,17901.58,17116.73,17425.03,17425.03,2521440000
"Nov 01, 2015",17672.62,17977.85,17210.43,17719.92,17719.92,2334610000
"Oct 01, 2015",16278.62,17799.96,16013.66,17663.54,17663.54,2605470000
"Sep 01, 2015",16528.03,16933.43,15942.37,16284.7,16284.7,2724080000
"Aug 01, 2015",17696.74,17704.76,15370.33,16528.03,16528.03,2726340000
"Jul 01, 2015",17638.12,18137.12,17399.17,17689.86,17689.86,2034220000
"Jun 01, 2015",18017.82,18188.81,17576.5,17619.51,17619.51,2219240000
"May 01, 2015",17859.27,18351.36,17733.12,18010.68,18010.68,1832450000
"Apr 01, 2015",17778.52,18175.56,17585.01,17840.52,17840.52,2174880000
"Mar 01, 2015",18134.05,18288.63,17579.27,17776.12,17776.12,2470480000
"Feb 01, 2015",17169.99,18244.38,17037.76,18132.7,18132.7,1751250000
"Jan 01, 2015",17823.07,17951.78,17136.3,17164.95,17164.95,2173260000
"Dec 01, 2014",17827.27,18103.45,17067.59,17823.07,17823.07,2216900000
"Nov 01, 2014",17390.9,17894.83,17278.36,17828.24,17828.24,1516490000
"Oct 01, 2014",17040.46,17395.54,15855.12,17390.52,17390.52,2903240000
"Sep 01, 2014",17097.42,17350.64,16934.43,17042.9,17042.9,1870550000
"Aug 01, 2014",16561.7,17153.8,16333.78,17098.45,17098.45,1482600000
"Jul 01, 2014",16828.53,17151.56,16563.3,16563.3,16563.3,1690880000
"Jun 01, 2014",16716.85,16978.02,16673.65,16826.6,16826.6,1755480000
"May 01, 2014",16580.26,16735.51,16341.3,16717.17,16717.17,1643160000
"Apr 01, 2014",16458.05,16631.63,16015.32,16580.84,16580.84,1986960000
"Mar 01, 2014",16321.71,16505.7,16046.99,16457.66,16457.66,2095940000
"Feb 01, 2014",15697.69,16398.95,15340.69,16321.71,16321.71,2067820000
"Jan 01, 2014",16572.17,16573.07,15617.55,15698.85,15698.85,2177040000
"Dec 01, 2013",16087.12,16588.25,15703.79,16576.66,16576.66,2057160000
"Nov 01, 2013",15558.01,16174.51,15522.18,16086.41,16086.41,1820260000
"Oct 01, 2013",15132.49,15721,14719.43,15545.75,15545.75,2206620000
"Sep 01, 2013",14801.55,15709.58,14777.48,15129.67,15129.67,2371540000
"Aug 01, 2013",15503.85,15658.43,14760.41,14810.31,14810.31,2327660000
"Jul 01, 2013",14911.6,15634.32,14858.93,15499.54,15499.54,2623130000
"Jun 01, 2013",15123.55,15340.09,14551.27,14909.6,14909.6,2929040000
"May 01, 2013",14839.8,15542.4,14687.05,15115.57,15115.57,2771510000
"Apr 01, 2013",14578.54,14887.51,14434.43,14839.8,14839.8,2920230000
"Mar 01, 2013",14054.49,14585.1,13937.6,14578.54,14578.54,2546320000
"Feb 01, 2013",13860.58,14149.15,13784.01,14054.49,14054.49,2487580000
"Jan 01, 2013",13104.3,13969.99,13104.3,13860.58,13860.58,2786680000
"Dec 01, 2012",13027.73,13365.86,12883.89,13104.14,13104.14,2666750000
"Nov 01, 2012",13099.19,13290.75,12471.49,13025.58,13025.58,2683930000
"Oct 01, 2012",13437.66,13661.87,13017.37,13096.46,13096.46,2472600000
"Sep 01, 2012",13092.15,13653.24,12977.09,13437.13,13437.13,2701270000
"Aug 01, 2012",13007.47,13330.76,12778.9,13090.84,13090.84,2267280000
"Jul 01, 2012",12879.71,13128.64,12492.25,13008.68,13008.68,2578110000
"Jun 01, 2012",12391.56,12898.94,12035.09,12880.09,12880.09,2923670000
"May 01, 2012",13214.16,13338.66,12311.56,12393.45,12393.45,3050000000
"Apr 01, 2012",13211.36,13297.11,12710.56,13213.63,13213.63,2574900000
"Mar 01, 2012",12952.29,13289.08,12734.86,13212.04,13212.04,3203390000
"Feb 01, 2012",12632.76,13055.75,12632.76,12952.07,12952.07,2712170000
"Jan 01, 2012",12221.19,12841.95,12221.19,12632.91,12632.91,2981080000
"Dec 01, 2011",12046.21,12328.47,11735.19,12217.56,12217.56,3071480000
"Nov 01, 2011",11951.53,12187.51,11231.43,12045.68,12045.68,3263110000
"Oct 01, 2011",10912.1,12284.31,10404.49,11955.01,11955.01,3907730000
"Sep 01, 2011",11613.3,11716.84,10597.14,10913.38,10913.38,4396520000
"Aug 01, 2011",12144.22,12282.42,10604.07,11613.53,11613.53,6203230000
"Jul 01, 2011",12414.34,12753.89,12083.45,12143.24,12143.24,3092480000
"Jun 01, 2011",12569.41,12569.49,11862.53,12414.34,12414.34,3876460000
"May 01, 2011",12810.16,12876,12309.52,12569.79,12569.79,3578020000
"Apr 01, 2011",12321.02,12832.83,12093.89,12810.54,12810.54,3321090000
"Mar 01, 2011",12226.49,12383.46,11555.48,12319.73,12319.73,3851830000
"Feb 01, 2011",11892.5,12391.29,11892.5,12226.34,12226.34,3220480000
"Jan 01, 2011",11577.43,12020.52,11573.87,11891.93,11891.93,3681720000
"Dec 01, 2010",11007.23,11625,11007.23,11577.51,11577.51,3252900000
"Nov 01, 2010",11120.3,11451.53,10929.28,11006.02,11006.02,3808130000
"Oct 01, 2010",10789.72,11247.6,10711.12,11118.49,11118.49,3787250000
"Sep 01, 2010",10016.01,10948.88,10016.01,10788.05,10788.05,3764970000
"Aug 01, 2010",10468.82,10719.94,9936.62,10014.72,10014.72,4117550000
"Jul 01, 2010",9773.27,10584.99,9614.32,10465.94,10465.94,4243320000
"Jun 01, 2010",10133.94,10594.16,9753.84,9774.02,9774.02,4941680000
"May 01, 2010",11009.6,11177.67,9774.48,10136.63,10136.63,5605690000
"Apr 01, 2010",10857.31,11258.01,10844.09,11008.61,11008.61,4237550000
"Mar 01, 2010",10326.1,10955.48,10326.1,10856.63,10856.63,4388530000
"Feb 01, 2010",10068.99,10438.55,9835.09,10325.26,10325.26,4279660000
"Jan 01, 2010",10430.69,10729.89,10043.75,10067.33,10067.33,4424700000
"Dec 01, 2009",10343.82,10580.33,10235.63,10428.05,10428.05,4174040000
"Nov 01, 2009",9712.13,10495.61,9678.95,10344.84,10344.84,3813550000
"Oct 01, 2009",9711.6,10119.47,9430.08,9712.73,9712.73,5151150000
