DATE,CSUSHPISA,EM%,GDP(billion),FDI % of GDP,DRSRET100S(%),Per capita($),DJAI Close,Fed spending % of GDP,HAI,Inflation Value,MORTGAGE30US,PERMIT(Thousands),"Crime per 100,000"
2001-04-01,111.65,64.0,10599.0,0.030446268515897726,2.33,31711.0,10734.97,0.7519744704029494,132.7,3.27,7.0775,1666.0,504.5
2001-05-01,112.162,63.8,10599.0,0.030446268515897726,2.33,31711.0,10911.94,0.7519744704029494,128.8,3.62,7.145,1665.0,504.5
2001-06-01,112.795,63.7,10599.0,0.030446268515897726,2.33,31711.0,10502.4,0.7519744704029494,122.8,3.25,7.159999999999999,1626.0,504.5
2001-07-01,113.491,63.7,10598.02,0.0521795580683939,2.27,31548.0,10522.81,0.7520440055596103,123.3,2.72,7.1275,1598.0,504.5
2001-08-01,114.167,63.2,10598.02,0.0521795580683939,2.27,31548.0,9949.75,0.7520440055596103,124.2,2.72,6.95,1615.0,504.5
2001-09-01,114.811,63.5,10598.02,0.0521795580683939,2.27,31548.0,8847.56,0.7520440055596103,129.2,2.65,6.8175,1565.0,504.5
2001-10-01,115.308,63.2,10660.465,-0.09369197309873444,2.28,31434.0,9075.14,0.7476388142356699,134.7,2.13,6.6175,1566.0,504.5
2001-11-01,115.854,63.0,10660.465,-0.09369197309873444,2.28,31434.0,9851.56,0.7476388142356699,134.9,1.9,6.6579999999999995,1651.0,504.5
2001-12-01,116.452,62.9,10660.465,-0.09369197309873444,2.28,31434.0,10021.57,0.7476388142356699,127.0,1.55,7.0649999999999995,1680.0,504.5
2002-01-01,117.143,62.7,10783.5,0.04958501414197617,2.25,31511.0,9920.0,0.8268843242358112,127.4,1.14,6.9975,1665.0,494.4
2002-02-01,117.845,63.0,10783.5,0.04958501414197617,2.25,31511.0,10106.13,0.8268843242358112,127.9,1.14,6.8925,1787.0,494.4
2002-03-01,118.688,62.8,10783.5,0.04958501414197617,2.25,31511.0,10403.94,0.8268843242358112,125.9,1.48,7.014,1691.0,494.4
2002-04-01,119.611,62.7,10887.46,0.1064619295960674,2.15,31788.0,9946.22,0.8189887366196404,123.6,1.64,6.985,1669.0,494.4
2002-05-01,120.724,62.9,10887.46,0.1064619295960674,2.15,31788.0,9925.25,0.8189887366196404,122.4,1.18,6.806,1716.0,494.4
2002-06-01,121.812,62.7,10887.46,0.1064619295960674,2.15,31788.0,9243.26,0.8189887366196404,117.5,1.07,6.65,1758.0,494.4
2002-07-01,122.886,62.7,10984.04,0.10799305173688369,2.06,31870.0,8736.59,0.8117875672700454,120.4,1.46,6.485,1738.0,494.4
2002-08-01,123.829,62.7,10984.04,0.10799305173688369,2.06,31870.0,8663.5,0.8117875672700454,124.9,1.8,6.29,1695.0,494.4
2002-09-01,124.778,63.0,10984.04,0.10799305173688369,2.06,31870.0,7591.93,0.8117875672700454,128.5,1.51,6.0925,1803.0,494.4
2002-10-01,125.733,62.7,11061.433,0.03162338912146374,1.92,32084.0,8397.03,0.8061077719674177,130.4,2.03,6.1125,1799.0,494.4
2002-11-01,126.668,62.5,11061.433,0.03162338912146374,1.92,32084.0,8896.09,0.8061077719674177,129.9,2.2,6.068,1771.0,494.4
2002-12-01,127.622,62.4,11061.433,0.03162338912146374,1.92,32084.0,8341.63,0.8061077719674177,128.2,2.38,6.0475,1896.0,494.4
2003-01-01,128.46,62.5,11174.129,0.13280677178507602,1.91,32159.0,8053.81,0.8456783578705203,133.8,2.6,5.9159999999999995,1808.0,475.8
2003-02-01,129.355,62.5,11174.129,0.13280677178507602,1.91,32159.0,7891.08,0.8456783578705203,134.9,2.98,5.8425,1854.0,475.8
2003-03-01,130.148,62.4,11174.129,0.13280677178507602,1.91,32159.0,7992.13,0.8456783578705203,134.7,3.02,5.745,1757.0,475.8
2003-04-01,130.885,62.4,11312.766,0.12886326827585756,1.8,32474.0,8480.09,0.8353146404118462,134.1,2.22,5.8125,1803.0,475.8
2003-05-01,131.735,62.3,11312.766,0.12886326827585756,1.8,32474.0,8850.26,0.8353146404118462,133.4,2.06,5.484,1835.0,475.8
2003-06-01,132.649,62.3,11312.766,0.12886326827585756,1.8,32474.0,8985.44,0.8353146404118462,130.6,2.11,5.23,1875.0,475.8
2003-07-01,133.776,62.1,11566.669,0.14521899087801338,1.68,32852.0,9233.8,0.8169784285651608,130.3,2.11,5.6325,1885.0,475.8
2003-08-01,134.967,62.1,11566.669,0.14521899087801338,1.68,32852.0,9415.82,0.8169784285651608,125.8,2.16,6.264,1966.0,475.8
2003-09-01,136.29399999999998,62.0,11566.669,0.14521899087801338,1.68,32852.0,9275.06,0.8169784285651608,124.1,2.32,6.1475,1961.0,475.8
2003-10-01,137.531,62.1,11772.234,0.1252863305299572,1.68,33242.0,9801.12,0.802712472700879,125.9,2.04,5.952,2012.0,475.8
2003-11-01,138.79399999999998,62.3,11772.234,0.1252863305299572,1.68,33242.0,9782.46,0.802712472700879,126.8,1.76,5.9325,1918.0,475.8
2003-12-01,140.18,62.2,11772.234,0.1252863305299572,1.68,33242.0,10453.92,0.802712472700879,123.8,1.88,5.8759999999999994,1987.0,475.8
2004-01-01,141.64700000000002,62.3,11923.447,0.1472141403404569,1.53,33508.0,10488.07,0.7463369792924295,130.6,1.93,5.7125,1952.0,463.2
2004-02-01,143.19299999999998,62.3,11923.447,0.1472141403404569,1.53,33508.0,10583.92,0.7463369792924295,130.0,1.69,5.635,1966.0,463.2
2004-03-01,145.06,62.2,11923.447,0.1472141403404569,1.53,33508.0,10357.7,0.7463369792924295,130.1,1.74,5.445,2066.0,463.2
2004-04-01,146.591,62.3,12112.815,0.20792854509872394,1.5,34000.0,10225.57,0.7346689779983745,128.9,2.29,5.83,2070.0,463.2
2004-05-01,148.184,62.3,12112.815,0.20792854509872394,1.5,34000.0,10188.45,0.7346689779983745,119.0,3.05,6.27,2150.0,463.2
2004-06-01,149.849,62.4,12112.815,0.20792854509872394,1.5,34000.0,10435.48,0.7346689779983745,111.4,3.27,6.2875,2020.0,463.2
2004-07-01,151.33700000000002,62.5,12305.307,0.1848633276682979,1.45,34412.0,10139.71,0.7231765462441027,113.8,2.99,6.056,2112.0,463.2
2004-08-01,152.63299999999998,62.4,12305.307,0.1848633276682979,1.45,34412.0,10173.92,0.7231765462441027,117.8,2.65,5.8675,2056.0,463.2
2004-09-01,154.178,62.3,12305.307,0.1848633276682979,1.45,34412.0,10080.27,0.7231765462441027,120.5,2.54,5.754,2041.0,463.2
2004-10-01,155.751,62.3,12527.214,0.1788346554948291,1.32,35073.0,10027.47,0.7103662008754206,121.8,3.19,5.7225,2097.0,463.2
2004-11-01,157.528,62.5,12527.214,0.1788346554948291,1.32,35073.0,10428.02,0.7103662008754206,120.8,3.52,5.73,2079.0,463.2
2004-12-01,159.33,62.4,12527.214,0.1788346554948291,1.32,35073.0,10783.01,0.7103662008754206,120.3,3.26,5.752,2082.0,463.2
2005-01-01,161.289,62.4,12767.286,0.19877364695989422,1.35,35073.0,10489.94,0.7090081732347556,123.9,2.97,5.71,2139.0,469.0
2005-02-01,163.344,62.4,12767.286,0.19877364695989422,1.35,35073.0,10766.23,0.7090081732347556,124.2,3.01,5.6275,2114.0,469.0
2005-03-01,165.813,62.4,12767.286,0.19877364695989422,1.35,35073.0,10503.76,0.7090081732347556,120.1,3.15,5.928,2062.0,469.0
2005-04-01,167.502,62.7,12922.656,0.2185386657355887,1.42,35579.0,10192.51,0.7004837182097604,112.1,3.51,5.855,2150.0,469.0
2005-05-01,169.352,62.8,12922.656,0.2185386657355887,1.42,35579.0,10467.48,0.7004837182097604,112.3,2.8,5.72,2085.0,469.0
2005-06-01,171.19,62.7,12922.656,0.2185386657355887,1.42,35579.0,10274.97,0.7004837182097604,108.2,2.53,5.582,2178.0,469.0
2005-07-01,172.86,62.8,13142.642,0.18373779031643717,1.45,36060.0,10640.91,0.6887587841185715,109.4,3.17,5.695,2203.0,469.0
2005-08-01,174.442,62.9,13142.642,0.18373779031643717,1.45,36060.0,10481.6,0.6887587841185715,107.0,3.64,5.82,2219.0,469.0
2005-09-01,176.438,62.8,13142.642,0.18373779031643717,1.45,36060.0,10568.7,0.6887587841185715,109.2,4.69,5.774,2263.0,469.0
2005-10-01,178.028,62.8,13324.204,0.24435230802530494,1.51,36595.0,10440.07,0.6793734262869039,106.1,4.35,6.065,2170.0,469.0
2005-11-01,179.68200000000002,62.7,13324.204,0.24435230802530494,1.51,36595.0,10805.87,0.6793734262869039,105.5,3.46,6.33,2218.0,469.0
2005-12-01,180.91,62.8,13324.204,0.24435230802530494,1.51,36595.0,10717.5,0.6793734262869039,106.6,3.42,6.272,2120.0,469.0
2006-01-01,182.321,62.9,13599.16,0.23044805708587884,1.4,37554.0,10864.86,0.6642311006399535,109.2,3.99,6.145,2212.0,479.3
2006-02-01,183.288,63.0,13599.16,0.23044805708587884,1.4,37554.0,10993.41,0.6642311006399535,110.8,3.6,6.2525,2141.0,479.3
2006-03-01,184.365,63.1,13599.16,0.23044805708587884,1.4,37554.0,11109.32,0.6642311006399535,109.1,3.36,6.324,2118.0,479.3
2006-04-01,184.329,63.0,13753.424,0.2749642561735899,1.43,37989.0,11367.14,0.656780814332404,106.0,3.55,6.5075,1998.0,479.3
2006-05-01,184.157,63.1,13753.424,0.2749642561735899,1.43,37989.0,11168.31,0.656780814332404,102.5,4.17,6.5975,1905.0,479.3
2006-06-01,183.508,63.1,13753.424,0.2749642561735899,1.43,37989.0,11150.22,0.656780814332404,101.6,4.32,6.6819999999999995,1867.0,479.3
2006-07-01,183.068,63.0,13870.188,0.290745878859032,1.56,38223.0,11185.68,0.6512518081643038,100.4,4.15,6.7625,1763.0,479.3
2006-08-01,182.595,63.1,13870.188,0.290745878859032,1.56,38223.0,11381.15,0.6512518081643038,104.5,3.82,6.523999999999999,1722.0,479.3
2006-09-01,182.8,63.1,13870.188,0.290745878859032,1.56,38223.0,11679.07,0.6512518081643038,108.0,2.06,6.4025,1655.0,479.3
2006-10-01,183.201,63.3,14039.56,0.25123294462219614,1.78,38626.0,12080.73,0.6433951644195993,109.6,1.31,6.3575,1570.0,479.3
2006-11-01,183.611,63.3,14039.56,0.25123294462219614,1.78,38626.0,12221.93,0.6433951644195993,112.8,1.97,6.24,1535.0,479.3
2006-12-01,184.141,63.4,14039.56,0.25123294462219614,1.78,38626.0,12463.15,0.6433951644195993,112.0,2.54,6.135,1638.0,479.3
2007-01-01,184.518,63.3,14215.651,0.23799824573633668,1.88,39334.0,12621.69,0.644404054492072,118.7,2.08,6.2175,1626.0,471.8
2007-02-01,184.599,63.3,14215.651,0.23799824573633668,1.88,39334.0,12268.63,0.644404054492072,116.9,2.42,6.285,1598.0,471.8
2007-03-01,184.15,63.3,14215.651,0.23799824573633668,1.88,39334.0,12354.35,0.644404054492072,116.1,2.78,6.156000000000001,1596.0,471.8
2007-04-01,183.011,63.0,14402.082,0.25917780498680676,2.08,39792.0,13062.91,0.6360624208113993,115.4,2.57,6.18,1470.0,471.8
2007-05-01,181.602,63.0,14402.082,0.25917780498680676,2.08,39792.0,13627.64,0.6360624208113993,113.5,2.69,6.2620000000000005,1493.0,471.8
2007-06-01,180.256,63.0,14402.082,0.25917780498680676,2.08,39792.0,13408.62,0.6360624208113993,108.0,2.69,6.657500000000001,1407.0,471.8
2007-07-01,179.113,62.9,14564.117,0.20361000944993782,2.49,39956.0,13211.99,0.6289858246568796,106.6,2.36,6.695,1361.0,471.8
2007-08-01,178.12,62.7,14564.117,0.20361000944993782,2.49,39956.0,13357.74,0.6289858246568796,109.7,1.97,6.572,1321.0,471.8
2007-09-01,177.56099999999998,62.9,14564.117,0.20361000944993782,2.49,39956.0,13895.63,0.6289858246568796,120.0,2.76,6.3825,1261.0,471.8
2007-10-01,176.625,62.7,14715.058,0.13691417322310248,3.01,40298.0,13930.01,0.6225339473105902,123.9,3.54,6.375,1192.0,471.8
2007-11-01,175.148,62.9,14715.058,0.13691417322310248,3.01,40298.0,13371.72,0.6225339473105902,124.6,4.31,6.208,1224.0,471.8
2007-12-01,174.343,62.7,14715.058,0.13691417322310248,3.01,40298.0,13264.82,0.6225339473105902,127.9,4.08,6.095,1149.0,471.8
2008-01-01,173.134,62.9,14706.538,0.21567278444457832,3.7,40644.0,12650.36,0.6349399154133012,137.4,4.28,5.758,1094.0,458.6
2008-02-01,171.543,62.8,14706.538,0.21567278444457832,3.7,40644.0,12266.39,0.6349399154133012,141.5,4.03,5.9175,1014.0,458.6
2008-03-01,170.05599999999998,62.7,14706.538,0.21567278444457832,3.7,40644.0,12262.89,0.6349399154133012,136.8,3.98,5.97,967.0,458.6
2008-04-01,168.33900000000003,62.7,14865.701,0.26080842067252663,4.41,41654.0,12820.13,0.6281417871745504,136.5,3.94,5.9175,1008.0,458.6
2008-05-01,166.66099999999997,62.5,14865.701,0.26080842067252663,4.41,41654.0,12638.32,0.6281417871745504,132.0,4.18,6.036,995.0,458.6
2008-06-01,165.02,62.4,14865.701,0.26080842067252663,4.41,41654.0,11350.01,0.6281417871745504,125.2,5.02,6.32,1180.0,458.6
2008-07-01,163.571,62.2,14898.999,0.19503323679664655,5.29,41025.0,11378.02,0.6267379435183867,124.9,5.6,6.425999999999999,921.0,458.6
2008-08-01,161.99200000000002,62.0,14898.999,0.19503323679664655,5.29,41025.0,11543.96,0.6267379435183867,128.9,5.37,6.4775,858.0,458.6
2008-09-01,160.313,61.9,14898.999,0.19503323679664655,5.29,41025.0,10850.66,0.6267379435183867,142.0,4.94,6.0375,797.0,458.6
2008-10-01,158.33100000000002,61.7,14608.208,0.1791800883448538,6.52,40563.0,9325.01,0.6392137895176807,145.2,3.66,6.2,736.0,458.6
2008-11-01,156.144,61.4,14608.208,0.1791800883448538,6.52,40563.0,8829.04,0.6392137895176807,148.6,1.07,6.0875,626.0,458.6
2008-12-01,153.618,61.0,14608.208,0.1791800883448538,6.52,40563.0,8776.39,0.6392137895176807,148.6,0.09,5.286,554.0,458.6
2009-01-01,151.505,60.6,14430.901,0.09146345054962265,8.04,39372.0,8000.86,0.7049832380705543,176.4,0.03,5.047499999999999,545.0,431.9
2009-02-01,150.012,60.3,14430.901,0.09146345054962265,8.04,39372.0,7062.93,0.7049832380705543,171.6,0.24,5.13,558.0,431.9
2009-03-01,148.658,59.9,14430.901,0.09146345054962265,8.04,39372.0,7608.92,0.7049832380705543,168.7,-0.3,5.0025,513.0,431.9
2009-04-01,147.94899999999998,59.8,14381.236,0.1742409345066029,8.91,39390.0,8168.12,0.70741786834286,177.8,-0.7,4.8100000000000005,521.0,431.9
2009-05-01,147.694,59.6,14381.236,0.1742409345066029,8.91,39390.0,8500.33,0.70741786834286,171.1,-1.2,4.8575,556.0,431.9
2009-06-01,148.09,59.4,14381.236,0.1742409345066029,8.91,39390.0,8447.0,0.70741786834286,160.4,-1.4,5.42,601.0,431.9
2009-07-01,148.41,59.3,14448.882,0.17557067737143955,9.93,39123.0,9171.61,0.7041059173474875,155.9,-2.1,5.2219999999999995,595.0,431.9
2009-08-01,148.276,59.1,14448.882,0.17557067737143955,9.93,39123.0,9496.28,0.7041059173474875,160.9,-1.4,5.1925,616.0,431.9
2009-09-01,148.023,58.7,14448.882,0.17557067737143955,9.93,39123.0,9712.28,0.7041059173474875,163.5,-1.2,5.0575,609.0,431.9
2009-10-01,147.849,58.5,14651.248,0.234560223129115,10.64,39392.0,9712.73,0.6943806640400599,170.1,-0.1,4.952,583.0,431.9
2009-11-01,148.134,58.6,14651.248,0.234560223129115,10.64,39392.0,10344.84,0.6943806640400599,174.6,1.84,4.875,623.0,431.9
2009-12-01,147.93,58.3,14651.248,0.234560223129115,10.64,39392.0,10428.05,0.6943806640400599,177.7,2.72,4.93,664.0,431.9
2010-01-01,147.394,58.5,14764.611,0.2068391778151148,11.79,39887.0,10067.33,0.7394001596984168,179.3,2.63,5.03,636.0,404.5
2010-02-01,145.631,58.5,14764.611,0.2068391778151148,11.79,39887.0,10325.26,0.7394001596984168,177.5,2.14,4.99,650.0,404.5
2010-03-01,145.857,58.5,14764.611,0.2068391778151148,11.79,39887.0,10856.63,0.7394001596984168,173.0,2.31,4.9675,687.0,404.5
2010-04-01,146.399,58.7,14980.193,0.2402772781365367,11.4,40537.0,11008.61,0.728759351183593,169.7,2.24,5.098000000000001,637.0,404.5
2010-05-01,146.39,58.6,14980.193,0.2402772781365367,11.4,40537.0,10136.63,0.728759351183593,167.6,2.02,4.8875,575.0,404.5
2010-06-01,145.716,58.5,14980.193,0.2402772781365367,11.4,40537.0,9774.02,0.728759351183593,161.3,1.05,4.7375,587.0,404.5
2010-07-01,144.988,58.5,15141.605,0.2536322932740618,10.89,40902.0,10465.94,0.7209906566235879,163.8,1.24,4.564,579.0,404.5
2010-08-01,143.912,58.6,15141.605,0.2536322932740618,10.89,40902.0,10014.72,0.7209906566235879,170.9,1.15,4.4275,580.0,404.5
2010-09-01,143.016,58.5,15141.605,0.2536322932740618,10.89,40902.0,10788.05,0.7209906566235879,178.5,1.14,4.346,563.0,404.5
2010-10-01,142.528,58.3,15309.471,0.2622690228813262,10.37,41298.0,11118.49,0.7130851047227563,181.2,1.17,4.225,558.0,404.5
2010-11-01,142.172,58.2,15309.471,0.2622690228813262,10.37,41298.0,11006.02,0.7130851047227563,182.8,1.14,4.3,560.0,404.5
2010-12-01,142.063,58.3,15309.471,0.2622690228813262,10.37,41298.0,11577.51,0.7130851047227563,177.9,1.5,4.714,632.0,404.5
2011-01-01,141.528,58.3,15351.444,0.2564449311739013,10.33,42342.0,11891.93,0.7002412068019008,188.6,1.63,4.755,576.0,387.1
2011-02-01,140.357,58.4,15351.444,0.2564449311739013,10.33,42342.0,12226.34,0.7002412068019008,188.4,2.11,4.9525,542.0,387.1
2011-03-01,139.987,58.4,15351.444,0.2564449311739013,10.33,42342.0,12319.73,0.7002412068019008,181.7,2.68,4.836,583.0,387.1
2011-04-01,140.012,58.4,15557.535,0.2967372401861863,10.19,42609.0,12810.54,0.6909650965086563,182.0,3.16,4.84,581.0,387.1
2011-05-01,139.905,58.3,15557.535,0.2967372401861863,10.19,42609.0,12569.79,0.6909650965086563,174.1,3.57,4.6375,618.0,387.1
2011-06-01,139.862,58.2,15557.535,0.2967372401861863,10.19,42609.0,12414.34,0.6909650965086563,170.3,3.56,4.51,636.0,387.1
2011-07-01,139.731,58.2,15647.681,0.2785077226459307,10.01,42953.0,12143.24,0.6869844594040356,176.1,3.63,4.545,621.0,387.1
2011-08-01,139.309,58.3,15647.681,0.2785077226459307,10.01,42953.0,11613.53,0.6869844594040356,179.5,3.77,4.27,647.0,387.1
2011-09-01,138.668,58.4,15647.681,0.2785077226459307,10.01,42953.0,10913.38,0.6869844594040356,187.1,3.87,4.106,610.0,387.1
2011-10-01,137.951,58.4,15842.267,0.23263715982062416,9.86,43105.0,11955.01,0.6785464272702764,196.5,3.53,4.0675,671.0,387.1
2011-11-01,137.151,58.6,15842.267,0.23263715982062416,9.86,43105.0,12045.68,0.6785464272702764,192.2,3.39,3.9925,706.0,387.1
2011-12-01,136.673,58.6,15842.267,0.23263715982062416,9.86,43105.0,12217.56,0.6785464272702764,194.8,2.96,3.9579999999999997,697.0,387.1
2012-01-01,136.606,58.4,16068.824,0.2448654612185683,9.49,43991.0,12632.91,0.6704385831851976,203.2,2.93,3.915,712.0,387.8
2012-02-01,136.532,58.5,16068.824,0.2448654612185683,9.49,43991.0,12952.07,0.6704385831851976,202.4,2.87,3.89,738.0,387.8
2012-03-01,137.908,58.5,16068.824,0.2448654612185683,9.49,43991.0,13212.04,0.6704385831851976,201.6,2.65,3.9539999999999997,806.0,387.8
2012-04-01,139.159,58.4,16207.13,0.2428190555638167,9.49,44429.0,13213.63,0.6647172939325038,189.2,2.3,3.91,732.0,387.8
2012-05-01,140.159,58.5,16207.13,0.2428190555638167,9.49,44429.0,12393.45,0.6647172939325038,184.9,1.7,3.7979999999999996,796.0,387.8
2012-06-01,141.032,58.6,16207.13,0.2428190555638167,9.49,44429.0,12880.09,0.6647172939325038,179.2,1.66,3.675,794.0,387.8
2012-07-01,141.66899999999998,58.5,16319.54,0.26161889366979707,9.47,44271.0,13008.68,0.6601386801351201,181.6,1.41,3.55,849.0,387.8
2012-08-01,142.279,58.4,16319.54,0.26161889366979707,9.47,44271.0,13090.84,0.6601386801351201,188.9,1.69,3.6019999999999994,840.0,387.8
2012-09-01,142.909,58.7,16319.54,0.26161889366979707,9.47,44271.0,13437.13,0.6601386801351201,196.0,1.99,3.4975,930.0,387.8
2012-10-01,143.60299999999998,58.8,16420.386,0.23709552260220923,8.87,45710.0,13096.46,0.6560844304154787,201.2,2.16,3.3825000000000003,887.0,387.8
2012-11-01,144.588,58.7,16420.386,0.23709552260220923,8.87,45710.0,13025.58,0.6560844304154787,201.1,1.76,3.3519999999999994,917.0,387.8
2012-12-01,145.504,58.7,16420.386,0.23709552260220923,8.87,45710.0,13104.14,0.6560844304154787,202.5,1.74,3.3449999999999998,941.0,387.8
2013-01-01,146.835,58.6,16629.05,0.24395861459313672,8.56,44430.0,13860.58,0.6124465714486035,171.8,1.59,3.414,940.0,369.1
2013-02-01,147.78,58.6,16629.05,0.24395861459313672,8.56,44430.0,14054.49,0.6124465714486035,208.1,1.98,3.5324999999999998,980.0,369.1
2013-03-01,149.96200000000002,58.5,16629.05,0.24395861459313672,8.56,44430.0,14578.54,0.6124465714486035,193.3,1.47,3.565,936.0,369.1
2013-04-01,151.52200000000002,58.6,16699.551,0.25616856405300953,8.02,44785.0,14839.8,0.6098609872174049,184.9,1.06,3.4450000000000003,1012.0,369.1
2013-05-01,152.858,58.6,16699.551,0.25616856405300953,8.02,44785.0,15115.57,0.6098609872174049,177.8,1.36,3.536,1003.0,369.1
2013-06-01,154.205,58.6,16699.551,0.25616856405300953,8.02,44785.0,14909.6,0.6098609872174049,166.3,1.75,4.07,942.0,369.1
2013-07-01,155.613,58.7,16911.068,0.24715174700970988,7.26,44987.0,15499.54,0.6022330853939799,158.4,1.96,4.37,997.0,369.1
2013-08-01,156.977,58.7,16911.068,0.24715174700970988,7.26,44987.0,14810.31,0.6022330853939799,156.3,1.52,4.456,964.0,369.1
2013-09-01,158.235,58.7,16911.068,0.24715174700970988,7.26,44987.0,15129.67,0.6022330853939799,165.2,1.18,4.49,1004.0,369.1
2013-10-01,159.247,58.3,17133.114,0.2515129473836455,6.93,45259.0,15545.75,0.5944281149910868,166.8,0.96,4.192,1044.0,369.1
2013-11-01,160.076,58.6,17133.114,0.2515129473836455,6.93,45259.0,16086.41,0.5944281149910868,171.1,1.24,4.255,1029.0,369.1
2013-12-01,160.997,58.7,17133.114,0.2515129473836455,6.93,45259.0,16576.66,0.5944281149910868,167.8,1.5,4.4575,1005.0,369.1
2014-01-01,161.944,58.8,17144.281,0.22731195318135536,6.36,46026.0,15698.85,0.5924921528171523,172.4,1.58,4.432,976.0,361.6
2014-02-01,162.53,58.7,17144.281,0.22731195318135536,6.36,46026.0,16321.71,0.5924921528171523,174.2,1.13,4.3025,1039.0,361.6
2014-03-01,163.094,58.9,17144.281,0.22731195318135536,6.36,46026.0,16457.66,0.5924921528171523,169.3,1.51,4.3425,1067.0,361.6
2014-04-01,163.404,58.9,17462.703,0.26148300180103845,6.01,46733.0,16580.84,0.5816884109059289,165.3,1.95,4.3375,1090.0,361.6
2014-05-01,163.671,58.9,17462.703,0.26148300180103845,6.01,46733.0,16717.17,0.5816884109059289,158.5,2.13,4.192,1018.0,361.6
2014-06-01,164.067,59.0,17462.703,0.26148300180103845,6.01,46733.0,16826.6,0.5816884109059289,152.9,2.07,4.1625,1010.0,361.6
2014-07-01,164.582,59.0,17743.227,0.2547225484969561,5.7,47346.0,16563.3,0.5724917997268592,153.3,1.99,4.13,1076.0,361.6
2014-08-01,165.22099999999998,59.0,17743.227,0.2547225484969561,5.7,47346.0,17098.45,0.5724917997268592,158.0,1.7,4.115,1047.0,361.6
2014-09-01,165.91299999999998,59.1,17743.227,0.2547225484969561,5.7,47346.0,17042.9,0.5724917997268592,165.6,1.66,4.1625,1077.0,361.6
2014-10-01,166.649,59.3,17852.54,0.26587253130366884,5.21,47901.0,17390.52,0.5689863715859032,166.5,1.66,4.036,1094.0,361.6
2014-11-01,167.34099999999998,59.2,17852.54,0.26587253130366884,5.21,47901.0,17828.24,0.5689863715859032,169.6,1.32,3.9975,1059.0,361.6
2014-12-01,168.05900000000003,59.3,17852.54,0.26587253130366884,5.21,47901.0,17823.07,0.5689863715859032,169.5,0.76,3.864,1072.0,361.6
2015-01-01,168.66299999999998,59.3,17991.348,0.19206454124504732,4.91,48422.0,17164.95,0.5423607736814411,180.9,-0.0,3.67,1049.0,373.7
2015-02-01,169.146,59.2,17991.348,0.19206454124504732,4.91,48422.0,18132.7,0.5423607736814411,180.1,-0.0,3.71,1127.0,373.7
2015-03-01,169.82,59.2,17991.348,0.19206454124504732,4.91,48422.0,17776.12,0.5423607736814411,171.7,-0.0,3.77,1072.0,373.7
2015-04-01,170.31799999999998,59.3,18193.707,0.23482295279351265,4.56,48787.0,17840.52,0.5363283810634111,166.5,-0.2,3.6719999999999997,1166.0,373.7
2015-05-01,170.898,59.4,18193.707,0.23482295279351265,4.56,48787.0,18010.68,0.5363283810634111,160.5,-0.0,3.84,1272.0,373.7
2015-06-01,171.483,59.4,18193.707,0.23482295279351265,4.56,48787.0,17619.51,0.5363283810634111,154.0,0.12,3.9825,1379.0,373.7
